course_name,platform,language,url
Сбор и анализ данных в Python,Coursera,Russian,https://www.classcentral.com/course/data-collection-and-analysis-in-python-23228
Data Lakes for Big Data,EdCast,English,https://www.classcentral.com/course/edcast-data-lakes-for-big-data-3545
Python ile Veri Bilimi. Sıfırdan başla! | 2021,Udemy,Turkish,https://www.classcentral.com/course/udemy-python-ile-veri-bilimi-sifirdan-basla-88650
Статистические методы анализа данных,Coursera,Russian,https://www.classcentral.com/course/data-analysis-statistical-methods-23237
"Data Science Grundlagen: Python, NumPy, Matplotlib & SciPy",Udemy,German,https://www.classcentral.com/course/udemy-data-science-grundlagen-python-numpy-matplo-36892
Power Query - Transformación de datos en Excel y Power BI,Udemy,Spanish,https://www.classcentral.com/course/udemy-curso-de-power-query-para-excel-y-power-bi-39152
Control de Avance de proyectos de construcción con Power BI,Udemy,Spanish,https://www.classcentral.com/course/udemy-construction-analytics-control-de-avance-co-88866
Veri Bilimi için Python ( Python for Data Science ),Udemy,Turkish,https://www.classcentral.com/course/udemy-veri-bilimi-icin-python-25747
Yeni Başlayanlar İçin Veri Bilimine Giriş,Udemy,Turkish,https://www.classcentral.com/course/udemy-yeni-baslayanlar-icin-veri-bilimine-giris-39006
Microsoft Excel - Visualización de Datos y Gráficos en Excel,Udemy,Spanish,https://www.classcentral.com/course/udemy-excel-visualizacion-de-datos-y-graficos-87990
"Data Science, Apache Spark & Python: Analysiere echte Daten!",Udemy,German,https://www.classcentral.com/course/udemy-apache-spark-mit-python-87006
Master en R para Data Science y Machine Learning,Udemy,Spanish,https://www.classcentral.com/course/udemy-master-en-data-science-y-machine-learning-c-36964
تحليل البيانات بأستخدام بايثون,Udemy,Arabic,https://www.classcentral.com/course/udemy-data-analysis-43405
UYGULAMALI TEMEL SPSS EĞİTİMİ,Udemy,Turkish,https://www.classcentral.com/course/udemy-uygulamalitemelspssegitimi-33107
【初学者向け】データ分析コンペで楽しみながら学べるPython×データ分析講座,Udemy,Japanese,https://www.classcentral.com/course/udemy-python-data-89037
SPSS 26 for Beginners (Arabic),Udemy,Arabic,https://www.classcentral.com/course/udemy-spss-26-for-beginners-arabic-68997
"R für Data Science, Visualisierung und Machine Learning",Udemy,German,https://www.classcentral.com/course/udemy-r-data-science-machine-learning-38291
Sıfırdan Her Yönüyle Big Data ( Büyük Veri ) Eğitimi,Udemy,Turkish,https://www.classcentral.com/course/udemy-sifirdan-her-yonuyle-bigdata-87522
R ile Veri Bilimi ve Machine Learning (35 Saat),Udemy,Turkish,https://www.classcentral.com/course/udemy-veri-bilimi-ve-makine-ogrenmesi-egitimi-38556
【続】Microsoft Power BI Desktop - 入門講座 ～Data Visualization編～,Udemy,Japanese,https://www.classcentral.com/course/udemy-masukawa_017-88105
"Elastic Stack 7. Beats, Logstash, Elasticsearch, Kibana. ELK",Udemy,Spanish,https://www.classcentral.com/course/udemy-elastic-stack-beats-logstash-elasticsearch--87635
Machine Learning de A a la Z: R y Python para Data Science,Udemy,Spanish,https://www.classcentral.com/course/udemy-machinelearning-es-36066
Data Science: Analiza danych w Python i PANDAS,Udemy,Polish,https://www.classcentral.com/course/udemy-analiza-danych-w-python-i-pandas-60255
Data Science : Analyse de données avec Python,Udemy,French,https://www.classcentral.com/course/udemy-analyse-et-visualisation-de-data-avec-pytho-48457
Python para Finanças: Investimentos & Análise de Dados,Udemy,Portuguese,https://www.classcentral.com/course/udemy-python-para-financas-investimentos-analise--36072
"Der ultimative Python-Kurs für Data Science, ML & AI",Udemy,German,https://www.classcentral.com/course/udemy-python-datascience-bootcamp-88659
Análisis de Datos y Gráficos con Python: Panda y Matplotlib.,Udemy,Spanish,https://www.classcentral.com/course/udemy-analiza-grafica-datos-python-panda-matplotl-33164
Machine Learning von A-Z: Lerne Python & R für Data Science!,Udemy,German,https://www.classcentral.com/course/udemy-machine-learning-komplett-27330
【数字を味方につける：初級編】ビジネスの現場で使えるデータ分析,Udemy,Japanese,https://www.classcentral.com/course/udemy-data_nyumon-56849
Data Science ve Python: Sıfırdan Uzmanlığa Veri Bilimi (2),Udemy,Turkish,https://www.classcentral.com/course/udemy-data-science-sfrdan-uzmanlga-veri-bilimi-2-25756
【世界で34万人が受講】データサイエンティストを目指すあなたへ〜データサイエンス25時間ブートキャンプ〜,Udemy,Japanese,https://www.classcentral.com/course/udemy-datascience365-25750
Uso de técnicas estadísticas para el análisis de datos,Coursera,Spanish,https://www.classcentral.com/course/datos-tecnicas-4654
Python: Yapay Zeka ve Veri Bilimi için Python Programlama,Udemy,Turkish,https://www.classcentral.com/course/udemy-veri-bilimine-giris-25735
Fundamentos del análisis de datos para la toma de decisiones,Coursera,Spanish,https://www.classcentral.com/course/analisis-de-datos-4603
Les Data Sciences de A à Z,Udemy,French,https://www.classcentral.com/course/udemy-les-data-sciences-de-a-a-z-25739
Введение в биоинформатику (Introduction to Bioinformatics),Coursera,Russian,https://www.classcentral.com/course/bioinfo-1390
統計学Ⅰ：データ分析の基礎 (ga014),gacco,Japanese,https://www.classcentral.com/course/gacco-ga014-3563
Построение выводов по данным,Coursera,Russian,https://www.classcentral.com/course/stats-for-data-analysis-5522
Data Science de A a Z - Extraçao e Exibição dos Dados,Udemy,Portuguese,https://www.classcentral.com/course/udemy-curso-data-science-completo-25744
Formação Cientista de Dados com Python e R,Udemy,Portuguese,https://www.classcentral.com/course/udemy-cientista-de-dados-27333
Python for Informatics: Exploring Information,Open Education by Blackboard,English,https://www.classcentral.com/course/open-education-by-blackboard-python-for-informatics-exploring-information-795
Visualización de datos para proyectos editoriales,Domestika,Spanish,https://www.classcentral.com/course/domestika-1701-data-visualization-for-editorial-p-49419
Математика и Python для анализа данных,Coursera,Russian,https://www.classcentral.com/course/mathematics-and-python-5525
Fundamentos de visualización de datos,Udemy,Spanish,https://www.classcentral.com/course/udemy-fundamentos-de-visualizacion-de-datos-69685
Fundamentos de Análise de Dados com Excel & Power BI,Udemy,Portuguese,https://www.classcentral.com/course/udemy-fundamentos-de-analise-de-dados-com-excel-p-69680
Introducción a la visualización de datos,Domestika,Spanish,https://www.classcentral.com/course/domestika-64-introduction-to-data-visualization-48766
Modelagem comparativa de proteínas,Udemy,Portuguese,https://www.classcentral.com/course/udemy-modelagem-de-proteinas-61249
Estatística para análise de dados usando Excel,Udemy,Portuguese,https://www.classcentral.com/course/udemy-big-data-excel-introducao-60449
أساسيات علم البيانات | Data Science Foundations,Udemy,Arabic,https://www.classcentral.com/course/udemy-data-science-foundations-60488
إنشاء مخطط التقارب  في تطبيق كرييتلي,Coursera,Arabic,https://www.classcentral.com/course/inshaa-mokhatat-attakarob-fi-tatbiq-creately-66116
Créer des infographies attrayantes avec Creately,Coursera,French,https://www.classcentral.com/course/creer-infographies-attrayantes-creately-66104
